Year,ActionGeo_CountryCode,avg_GoldsteinScale,sum_NumArticles,avg_AvgTone,min_AvgTone,max_AvgTone
2016,SI,1.5768306804318506,624836,-1.1036536470156768,-23.3333333333334,18.9189189189189
2017,FO,1.380539119000658,10346,-0.078255420038509674,-12.4260355029586,10.1827676240209
2015,RI,1.0870834638462739,1111654,-1.4706567854579418,-23.2876712328767,27.7777777777778
2015,YM,-1.2137842183470253,4179668,-3.2481896411280031,-27.2108843537415,20.6896551724138
2015,AO,1.4355503502071227,570334,-0.7666216327431592,-19.5488721804511,14.6496815286624
2018,US,0.48950536869372657,108017767,-2.0324833879748136,-40.3908794788274,30.7692307692308
2018,ET,1.4654794036639025,992864,-1.4697733772815076,-23.0769230769231,17.3913043478261
2018,PA,1.111318097846449,562892,-1.4611231550413397,-16.4705882352941,14.7368421052632
2018,PF,-0.6826484018264839,1656,-2.4477863926504022,-8.92857142857143,2.10231254379818
2019,AN,1.7941145168156658,80409,-0.66277936371780388,-15.8878504672897,9.75609756097561
2015,CV,1.7400531914893616,40003,-0.15542246545953334,-14.3589743589744,12.5714285714286
2019,WF,1.4296296296296294,180,-0.21508031076754872,-6.76084762865792,4.18848167539267
2020,IP,4.5285714285714285,22,1.1847115501365186,1.1090573012939,1.26182965299685
2019,AU,1.2075965009434741,1200082,-1.0983519830432378,-29.1666666666667,18.75
2020,BH,0.62579046188509213,76961,-1.4883368154392254,-16.6666666666666,11.953781512605
2020,TW,1.0151169892382541,524839,-1.7067830294497612,-21.875,14.2857142857143
2020,MB,1.0168795113825653,26922,-2.0191945928120583,-14.7058823529412,10.0401606425703
2020,OC,0.94443820224719111,9585,-1.1201116846281647,-13.7362637362637,7.47422680412371
2019,BU,1.4449199372362511,1312725,-0.69494666074590927,-24.5283018867925,17.9775280898876
2019,AG,0.056075943757557284,1128247,-2.7235027703330918,-28.5714285714286,20.5128205128205
2017,JA,1.1428057779061076,5145483,-0.95103457009114423,-25.8426966292135,24.0506329113924
2017,TZ,1.1167744698257682,990825,-1.298225208276695,-28.0487804878049,15.0
2017,MN,1.2353738406208599,169562,0.27768735626403229,-18.421052631579,17.0731707317074
2016,SY,-0.85588250118034725,16426973,-4.0463671145225764,-33.3333333333333,23.5955056179775
2016,EK,1.5297582144401523,70664,-0.77651808184551319,-15.4929577464789,15.311004784689
2015,TD,0.60206916144509837,345669,-1.4997429624724066,-23.2323232323232,17.1597633136095
2017,KT,0.65552407932011314,4157,-2.8380277926462223,-13.5483870967742,6.53950953678474
2015,BT,1.8701330046437541,107220,0.20506135791235655,-13.7362637362637,17.2661870503597
2015,CG,0.3465044031939204,236737,-2.5874671339228419,-20.0,13.2075471698113
2018,BO,1.1825833703203157,1376354,-1.0840019008963679,-25.0,22.3880597014925
2018,BR,0.63671331655567365,6408043,-1.7160820021723548,-28.3582089552239,28.4023668639053
2018,PO,1.2486978339451791,1801315,-0.74752750371183951,-35.7588357588358,21.1267605633803
2018,CU,1.2193118828473453,1365379,-1.2183743798646136,-28.5714285714286,21.6216216216216
2018,MU,2.0419276320220132,618230,0.57148173040404615,-23.8095238095238,27.1186440677966
2018,PP,1.506673019535071,216054,-0.85821203078543074,-26.0162601626016,16.6666666666667
2018,JN,1.8769230769230767,61,-2.3185260876418941,-4.24028268551237,0.52219321148825
2018,NT,1.5977941176470594,793,-0.46168559359772543,-9.42857142857142,5.13698630136986
2019,AF,-0.31179562879662182,2971685,-3.247775812498392,-33.3333333333333,17.6470588235294
2020,ER,0.70565306122448979,49732,-2.4655422808850842,-27.027027027027,15.7894736842105
2020,GH,1.0118099222579535,883464,-1.1340018826607268,-20.4545454545454,17.5182481751825
2020,NC,1.211749680715198,8654,-1.1904691116256141,-11.5384615384615,8.69565217391306
2020,ST,1.3894368660370764,19756,-0.15539924645678244,-21.2121212121212,14.7435897435897
2020,WI,1.3477142857142854,13458,-1.4082954946881612,-14.8148148148148,12.0
2020,RM,0.88007968127490044,14960,-2.02853958744629,-20.353982300885,10.0877192982456
2019,PL,1.0642750327197732,2728346,-1.3707865387062168,-30.0,24.1420830824804
2020,IM,0.32589073634204269,2206,-2.3024880980872915,-9.61538461538461,6.66666666666666
2019,GT,1.0184645409844375,736643,-2.6299952839837517,-25.0,21.4689265536723
2017,CE,0.90454232335794393,1216847,-1.5753128024432999,-28.0701754385965,21.5686274509804
2016,IN,0.16040769788852491,19668168,-2.2793705913574551,-32.4324324324324,29.2181069958847
2016,ID,0.68053379067711961,6615478,-1.8885395039684594,-34.3283582089552,32.7586206896552
2016,AO,1.4601905625864879,718674,-1.0543272692007735,-22.0779220779221,20.6896551724138
2016,HA,1.0804433133999016,867894,-2.3124530770000291,-26.3888888888889,16.0839160839161
2015,CO,0.95235735517577691,3703976,-1.7544105171316338,-51.715976331361,38.4714691453654
2015,JA,1.3418909375222328,4472030,-0.90867417659559224,-27.0833333333333,19.0140845070423
2015,SF,0.28359302999931213,3341955,-2.3615878278884566,-24.4444444444444,17.741935483871
2015,DA,0.76152956820962958,1546092,-1.6547198289919425,-24.9211356466877,17.948350071736
2015,WE,-2.4207573928215904,687502,-5.3728072602604,-23.2323232323232,14.4736842105263
2018,AQ,0.69866302864938623,19474,-2.4913527394711283,-14.9038461538462,9.71659919028342
2018,MA,1.1724445221037916,204365,-1.3354818936205275,-18.3673469387755,16.3636363636364
2018,NC,1.3142993326978067,30346,-1.0271721589211127,-20.2127659574468,9.50413223140496
2015,KR,1.0715513712648377,25824,-1.6140790245533034,-14.0235910878113,8.39160839160839
2018,FQ,1.3857142857142857,76,0.68255020792422494,-0.22779043280182,3.16742081447963
2020,NO,1.2786637022675547,602193,-1.5066710934136025,-30.3030303030303,16.4948453608248
2020,YM,-0.93811607224240534,451878,-4.2250903282967576,-25.9259259259259,18.6274509803922
2020,CW,1.4596404755001451,17416,-0.65611386780440584,-12.2994652406418,10.0890207715134
2020,WS,1.0121060606060603,33853,-1.8676870955589249,-17.9372197309417,10.6382978723404
2019,AR,1.2160507797552949,2970573,-1.3371105102494361,-22.9166666666667,21.0144927536232
2019,EN,1.392964849719817,506966,-0.39786340559893735,-20.0,19.6969696969697
2019,AY,1.3773160573808423,67575,-0.39124026884312751,-12.4744376278119,12.5
2019,BM,-0.40818302219979796,345160,-3.1999719055484506,-26.6666666666667,12.0805369127517
2017,JO,0.9256227140214669,1918712,-1.6360660974285961,-33.3333333333333,28.4403669724771
2017,ZI,0.389241593858476,1562594,-2.1252594427563958,-22.1476510067114,18.9814814814815
2017,SY,-0.94447221858519947,10902837,-3.6626424627926211,-32.2033898305085,18.8888888888889
2016,CB,0.68562745747466636,738316,-2.0450558335539943,-22.6415094339623,17.2809237583044
2017,EN,1.508477427062374,863229,-0.3836753950836313,-23.3766233766234,23.9130434782609
2017,KG,1.1716027933912443,618046,-1.468930900085091,-23.8095238095238,23.2876712328767
2016,BG,-0.83729523961413455,3543352,-3.4002169147896812,-34.7826086956522,21.5789473684211
2017,SE,2.0070060790273563,71732,0.82812309586894961,-13.9880952380953,16.1538461538462
2016,MH,0.76587078651778406,50344,-1.6934260079143006,-14.1592920353982,11.8012422360249
2016,TL,1.4084645667883353,3017,0.045793853347722756,-12.6050420168067,6.84931506849315
2015,UZ,1.0505663592682046,340412,-1.4293288026593236,-21.969696969697,18.0555555555555
2018,AJ,1.3281398606640715,1483805,-0.37050625468595105,-21.2962962962963,21.031746031746
2018,AR,1.2426159056694004,3959853,-1.403130643125994,-23.9130434782609,19.7752808988764
2018,DR,1.0576366002935573,221354,-1.5149059381821222,-19.4029850746269,14.2857142857143
2018,KE,0.54239139087705035,2136752,-2.2868073703008442,-30.6122448979592,20.0
2018,WE,-1.1414398698128543,658875,-4.0561209561510356,-27.3972602739726,14.4736842105263
2018,PS,1.5059003707883281,86927,-1.1188486631059409,-14.0939597315436,10.3448275862069
2015,SM,1.7770007770007779,19789,-0.16619478948760855,-11.0849056603773,19.2307692307692
2015,BV,1.846153846153846,83,-0.34289120855732536,-2.86396181384248,2.45901639344262
2019,RN,1.0902479338842974,13468,-0.68881513753711177,-19.2145862552595,10.2941176470588
2020,JO,1.0242622299374644,545107,-1.537756443226395,-27.5309207512597,20.6896551724138
2020,NU,0.39725505357340107,245971,-2.7244169205046327,-17.5925925925926,17.7570093457944
